"捷運名稱","緯度","經度","區"
"忠孝復興",25.041629,121.543767,"大安區"
"南港展覽館",25.0553846,121.6182655,"南港區"
"松山機場",25.063021,121.5517715,"松山區"
"中山國中",25.060848,121.544226,"中山區"
"南京復興",25.0520954,121.5443516,"中山區"
"大安",25.0332255,121.5439082,"大安區"
"科技大樓",25.026124,121.543437,"大安區"
"六張犁",25.023698,121.55162,"大安區"
"麟光",25.015464,121.561065,"大安區"
"辛亥",25.005475,121.557107,"文山區"
"萬芳醫院",24.9993886,121.5582008,"文山區"
"萬芳社區",25.00225,121.569992,"文山區"
"木柵",24.99824,121.573145,"文山區"
"動物園",24.998259,121.57943,"文山區"
"大直",25.079476,121.546894,"中山區"
"劍南路",25.084853,121.555592,"中山區"
"西湖",25.082133,121.567213,"內湖區"
"港墘",25.080038,121.575102,"內湖區"
"文德",25.0785484,121.5855236,"內湖區"
"內湖",25.064786,121.585319,"內湖區"
"大湖公園",25.083009,121.605262,"內湖區"
"葫洲",25.0727158,121.6071548,"內湖區"
"東湖",25.0671258,121.6117183,"內湖區"
"南港軟體園區",25.0599419,121.6159291,"南港區"
"小碧潭",24.972008,121.530487,"新店區"
"新店",24.95894,121.538581,"新店區"
"新店區公所",24.9673862,121.5410004,"新店區"
"七張",24.9749794,121.5431015,"新店區"
"大坪林",24.9827862,121.5410329,"新店區"
"景美",24.993524,121.540817,"文山區"
"萬隆",24.999282,121.540237,"文山區"
"公館",25.011943,121.537818,"中正區"
"台電大樓",25.017557,121.531394,"中正區"
"古亭",25.0261342,121.522922,"中正區"
"中正紀念堂",25.032729,121.51827,"中正區"
"頂溪",25.014218,121.5153677,"永和區"
"永安市場",25.003881,121.51332,"中和區"
"景安",24.9937115,121.5046146,"中和區"
"南勢角",24.9899178,121.5088501,"中和區"
"小南門",25.035534,121.51088,"中正區"
"台大醫院",25.041471,121.518577,"中正區"
"台北車站",25.0477505,121.5170599,"中正區"
"中山",25.0529046,121.5203406,"中山區"
"雙連",25.0579015,121.5206032,"大同區"
"民權西路",25.0628786,121.519346,"大同區"
"圓山",25.071353,121.520118,"大同區"
"劍潭",25.084873,121.525077,"士林區"
"士林",25.093535,121.526229,"士林區"
"芝山",25.1030598,121.5225139,"士林區"
"明德",25.10972,121.518848,"北投區"
"石牌",25.114523,121.515559,"北投區"
"唭哩岸",25.120872,121.506252,"北投區"
"奇岩",25.126112,121.5010071,"北投區"
"北投",25.1313054,121.4991801,"北投區"
"新北投",25.1369429,121.5026492,"北投區"
"復興崗",25.138198,121.491851,"北投區"
"忠義",25.131058,121.473226,"北投區"
"關渡",25.124923,121.465515,"北投區"
"竹圍",25.136558,121.46009,"淡水區"
"紅樹林",25.154042,121.458871,"淡水區"
"淡水",25.167817,121.44556,"淡水區"
"頂埔",24.959332,121.4198624,"土城區"
"永寧",24.9668026,121.4363174,"土城區"
"土城",24.9732244,121.4441573,"土城區"
"海山",24.9854279,121.4486084,"土城區"
"亞東醫院",24.998037,121.452514,"板橋區"
"府中",25.0083954,121.4589482,"板橋區"
"板橋",25.0145999,121.4625299,"板橋區"
"新埔",25.0241811,121.4682288,"板橋區"
"江子翠",25.033971,121.473281,"板橋區"
"龍山寺",25.035279,121.499826,"萬華區"
"西門",25.0421203,121.5076592,"中正區"
"善導寺",25.0441055,121.524231,"中正區"
"忠孝新生",25.0424433,121.5332498,"大安區"
"忠孝敦化",25.0416218,121.5516552,"大安區"
"國父紀念館",25.039012,121.557739,"信義區"
"市政府",25.041146,121.565963,"信義區"
"永春",25.0407066,121.5765839,"信義區"
"後山埤",25.045054,121.582522,"南港區"
"昆陽",25.0501585,121.593423,"南港區"
"南港",25.052056,121.606569,"南港區"
"大橋頭",25.0632553,121.5127182,"大同區"
"中山國小",25.062693,121.526418,"三重區"
"行天宮",25.059717,121.533184,"中山區"
"松江南京",25.0512257,121.5327387,"中山區"
"東門",25.0340535,121.5289343,"大安區"
"蘆洲",25.091553,121.464471,"蘆洲區"
"三民高中",25.085457,121.473389,"蘆洲區"
"徐匯中學",25.079547,121.481262,"蘆洲區"
"三和國中",25.07542,121.488685,"三重區"
"三重國小",25.06945,121.498291,"三重區"
"輔大",25.0328241,121.4361096,"新莊區"
"新莊",25.036125,121.452468,"新莊區"
"頭前庄",25.039705,121.461746,"新莊區"
"先嗇宮",25.046493,121.471916,"三重區"
"三重",25.055791,121.484725,"三重區"
"菜寮",25.060274,121.492156,"三重區"
"台北橋",25.063059,121.499916,"三重區"
"迴龍",25.02254,121.412734,"新莊區"
"丹鳳",25.0290509,121.422421,"新莊區"
"象山",25.032939,121.5688409,"信義區"
"台北101.世貿",25.0330575,121.5631862,"信義區"
"信義安和",25.033116,121.552798,"大安區"
"大安森林公園",25.0334788,121.535352,"大安區"
"北門",25.0490258,121.5099912,"大同區"
"台北小巨蛋",25.0514463,121.5507862,"松山區"
"南京三民",25.051462,121.560447,"松山區"
"松山",25.0498846,121.5775295,"松山區"
